Пушкар Максим, чол, математика, 00000000, 100 100 100 100 100 , звичайний 
Шмонько Владислава, жін, математика, 00000001, 100 100 100 100 99 , звичайний 
Андреева Марія, жін, математика, 00000002, 100 99 100 99 100 , звичайний 
Азаров Євген, чол, математика, 00000003, 100 99 99 99 100 , звичайний 
Нечипорук Карина, жін, математика, 00000004, 100 100 100 100 70 , звичайний 
Артур Асакович, чол, статистика, 00000005, 61 70 64 68 69 , пільговик 
Рыбаков Владимир, чол, статистика, 00000006, 77 76 69 98 88 , звичайний 
Селиверстов Антонин, чол, математика, 00000007, 58 85 92 73 78 , звичайний 
Игнатов Платон, чол, математика, 00000008, 80 58 64 56 58 , звичайний 
Виноградов Артём, чол, математика, 00000009, 58 90 75 100 79 , звичайний 
Зуев Борис, чол, математика, 00000010, 59 72 60 77 97 , звичайний 
Фомичёв Ждан, чол, математика, 00000011, 80 57 89 63 67 , звичайний 
Савин Аркадий, чол, статистика, 00000012, 94 91 76 97 81 , звичайний 
Князев Михаил, чол, математика, 00000013, 72 99 65 91 90 , пільговик 
Коломоец Яков, чол, математика, 00000014, 56 93 64 93 92 , пільговик 
Романов Добрыня, чол, статистика, 00000015, 96 69 57 95 63 , звичайний 
Юдин Руслан, чол, математика, 00000016, 59 65 90 77 92 , звичайний 
Правый Устин, чол, математика, 00000017, 65 66 93 74 70 , звичайний 
Яворивский Ян, чол, математика, 00000018, 74 96 68 99 84 , звичайний 
Дзюба Закир, чол, математика, 00000019, 69 80 56 93 85 , звичайний 
Житар Никита, чол, статистика, 00000020, 62 77 60 76 82 , звичайний 
Иванив Оскар, чол, статистика, 00000021, 59 82 81 58 95 , звичайний 
Осипов Ефим, чол, математика, 00000022, 98 90 86 84 65 , пільговик 
Никонов Еремей, чол, математика, 00000023, 66 100 91 71 63 , звичайний 
Петренко Игнатий, чол, статистика, 00000024, 76 85 100 75 70 , звичайний 
Гребневский Нестор, чол, математика, 00000025, 94 62 87 94 70 , звичайний 
Моисеенко Никита, чол, математика, 00000026, 61 92 97 81 94 , звичайний 
Сергеев Богдан, чол, статистика, 00000027, 80 60 90 89 63 , звичайний 
Полищук Корнелий, чол, математика, 00000028, 58 100 66 89 66 , пільговик 
Сазонов Юлиан, чол, математика, 00000029, 78 68 58 62 86 , звичайний 
Цветков Ярослав, чол, статистика, 00000030, 55 89 59 61 91 , звичайний 
Голубев Феликс, чол, статистика, 00000031, 55 65 93 92 82 , звичайний 
Ткаченко Эрик, чол, математика, 00000032, 70 66 94 100 64 , звичайний 
Волков Иннокентий, чол, математика, 00000033, 82 71 70 96 88 , звичайний 
Навальный Зиновий, чол, статистика, 00000034, 76 57 92 60 98 , звичайний 
Бердник Йосеф, чол, математика, 00000035, 81 96 85 67 65 , звичайний 
Егоров Григорий, чол, статистика, 00000036, 77 72 72 94 74 , звичайний 
Анисимов Бронислав, чол, математика, 00000037, 84 74 83 63 96 , пільговик 
Назаров Трофим, чол, математика, 00000038, 70 56 90 88 70 , звичайний 
Ефимов Марк, чол, математика, 00000039, 94 82 81 82 70 , звичайний 
Навальный Орест, чол, математика, 00000040, 71 81 91 97 85 , звичайний 
Баранов Тимофей, чол, статистика, 00000041, 59 90 61 90 67 , звичайний 
